"date","beach","ecoli","status","rain","DOY"
2014-06-20,"BRT",24.5950948584936,"swim",FALSE,2019-06-20
2014-06-20,"MNY",15.5184557391536,"swim",FALSE,2019-06-20
2014-06-20,"PEB",37.2791927319135,"swim",FALSE,2019-06-20
2014-06-20,"PRB",47.5015651497016,"swim",FALSE,2019-06-20
2014-06-20,"WBO",39.4870097166964,"swim",FALSE,2019-06-20
2014-06-21,"BRT",13.1950791077289,"swim",FALSE,2019-06-21
2014-06-21,"MNY",31.7767152314644,"swim",FALSE,2019-06-21
2014-06-21,"PEB",14.3096908110526,"swim",FALSE,2019-06-21
2014-06-21,"PRB",30.6388706280041,"swim",FALSE,2019-06-21
2014-06-21,"WBO",11.4869835499704,"swim",FALSE,2019-06-21
2014-06-22,"BRT",35.1948202893552,"swim",FALSE,2019-06-22
2014-06-22,"MNY",10,"swim",FALSE,2019-06-22
2014-06-22,"PEB",17.4110112659225,"swim",FALSE,2019-06-22
2014-06-22,"PRB",36.5018605135924,"swim",FALSE,2019-06-22
2014-06-22,"WBO",11.4869835499704,"swim",FALSE,2019-06-22
2014-06-23,"BRT",14.3096908110526,"swim",FALSE,2019-06-23
2014-06-23,"MNY",20.4767251107922,"swim",FALSE,2019-06-23
2014-06-23,"PEB",22.6793315526605,"swim",FALSE,2019-06-23
2014-06-23,"PRB",24.7011449086334,"swim",FALSE,2019-06-23
2014-06-23,"WBO",29.9255573947769,"swim",FALSE,2019-06-23
2014-06-24,"BRT",10,"no swim",TRUE,2019-06-24
2014-06-24,"MNY",28.6193816221051,"no swim",TRUE,2019-06-24
2014-06-24,"PEB",13.1950791077289,"no swim",TRUE,2019-06-24
2014-06-24,"PRB",29.5797296766199,"no swim",TRUE,2019-06-24
2014-06-24,"WBO",60,"no swim",TRUE,2019-06-24
2014-06-25,"BRT",17,"no swim",TRUE,2019-06-25
2014-06-25,"MNY",830,"no swim",TRUE,2019-06-25
2014-06-25,"PEB",87,"no swim",TRUE,2019-06-25
2014-06-25,"PRB",1000,"no swim",TRUE,2019-06-25
2014-06-25,"WBO",508,"no swim",TRUE,2019-06-25
2014-06-26,"BRT",53,"swim",FALSE,2019-06-26
2014-06-26,"MNY",109,"no swim",FALSE,2019-06-26
2014-06-26,"PEB",736,"no swim",FALSE,2019-06-26
2014-06-26,"PRB",404,"no swim",FALSE,2019-06-26
2014-06-26,"WBO",456,"no swim",FALSE,2019-06-26
2014-06-27,"BRT",31,"swim",FALSE,2019-06-27
2014-06-27,"MNY",45,"swim",FALSE,2019-06-27
2014-06-27,"PEB",187,"no swim",FALSE,2019-06-27
2014-06-27,"PRB",135,"no swim",FALSE,2019-06-27
2014-06-27,"WBO",99,"no swim",FALSE,2019-06-27
2014-06-28,"BRT",20,"swim",FALSE,2019-06-28
2014-06-28,"MNY",41,"swim",FALSE,2019-06-28
2014-06-28,"PEB",88,"swim",FALSE,2019-06-28
2014-06-28,"PRB",73,"swim",FALSE,2019-06-28
2014-06-28,"WBO",23,"swim",FALSE,2019-06-28
2014-06-29,"BRT",27,"swim",FALSE,2019-06-29
2014-06-29,"MNY",32,"swim",FALSE,2019-06-29
2014-06-29,"PEB",57,"swim",FALSE,2019-06-29
2014-06-29,"PRB",50,"swim",FALSE,2019-06-29
2014-06-29,"WBO",19,"swim",FALSE,2019-06-29
2014-06-30,"BRT",24,"swim",FALSE,2019-06-30
2014-06-30,"MNY",59,"swim",FALSE,2019-06-30
2014-06-30,"PEB",29,"swim",FALSE,2019-06-30
2014-06-30,"PRB",39,"swim",FALSE,2019-06-30
2014-06-30,"WBO",27,"swim",FALSE,2019-06-30
2014-07-01,"BRT",16,"swim",FALSE,2019-07-01
2014-07-01,"MNY",20,"swim",FALSE,2019-07-01
2014-07-01,"PEB",26,"swim",FALSE,2019-07-01
2014-07-01,"PRB",22,"swim",FALSE,2019-07-01
2014-07-01,"WBO",11,"swim",FALSE,2019-07-01
2014-07-02,"BRT",95,"swim",FALSE,2019-07-02
2014-07-02,"MNY",75,"swim",FALSE,2019-07-02
2014-07-02,"PEB",16,"swim",FALSE,2019-07-02
2014-07-02,"PRB",217,"no swim",FALSE,2019-07-02
2014-07-02,"WBO",25,"swim",FALSE,2019-07-02
2014-07-03,"BRT",18,"swim",FALSE,2019-07-03
2014-07-03,"MNY",1000,"no swim",FALSE,2019-07-03
2014-07-03,"PEB",22,"swim",FALSE,2019-07-03
2014-07-03,"PRB",62,"swim",FALSE,2019-07-03
2014-07-03,"WBO",21,"swim",FALSE,2019-07-03
2014-07-04,"BRT",22,"swim",FALSE,2019-07-04
2014-07-04,"MNY",72,"swim",FALSE,2019-07-04
2014-07-04,"PEB",30,"swim",FALSE,2019-07-04
2014-07-04,"PRB",122,"swim",FALSE,2019-07-04
2014-07-04,"WBO",14,"swim",FALSE,2019-07-04
2014-07-05,"BRT",12,"swim",FALSE,2019-07-05
2014-07-05,"MNY",24,"swim",FALSE,2019-07-05
2014-07-05,"PEB",34,"swim",FALSE,2019-07-05
2014-07-05,"PRB",27,"swim",FALSE,2019-07-05
2014-07-05,"WBO",26,"swim",FALSE,2019-07-05
2014-07-06,"BRT",16,"swim",FALSE,2019-07-06
2014-07-06,"MNY",35,"swim",FALSE,2019-07-06
2014-07-06,"PEB",20,"swim",FALSE,2019-07-06
2014-07-06,"PRB",29,"swim",FALSE,2019-07-06
2014-07-06,"WBO",11,"swim",FALSE,2019-07-06
2014-07-07,"BRT",12,"swim",FALSE,2019-07-07
2014-07-07,"MNY",207,"no swim",FALSE,2019-07-07
2014-07-07,"PEB",10,"swim",FALSE,2019-07-07
2014-07-07,"PRB",39,"no swim",TRUE,2019-07-07
2014-07-07,"WBO",18,"swim",FALSE,2019-07-07
2014-07-08,"BRT",13,"swim",FALSE,2019-07-08
2014-07-08,"MNY",24,"no swim",TRUE,2019-07-08
2014-07-08,"PEB",14,"no swim",TRUE,2019-07-08
2014-07-08,"PRB",157,"no swim",TRUE,2019-07-08
2014-07-08,"WBO",20,"no swim",TRUE,2019-07-08
2014-07-09,"BRT",36,"swim",FALSE,2019-07-09
2014-07-09,"MNY",1000,"no swim",FALSE,2019-07-09
2014-07-09,"PEB",38,"swim",FALSE,2019-07-09
2014-07-09,"PRB",604,"no swim",FALSE,2019-07-09
2014-07-09,"WBO",151,"swim",FALSE,2019-07-09
2014-07-10,"BRT",30,"swim",FALSE,2019-07-10
2014-07-10,"MNY",31,"swim",FALSE,2019-07-10
2014-07-10,"PEB",182,"swim",FALSE,2019-07-10
2014-07-10,"PRB",242,"no swim",FALSE,2019-07-10
2014-07-10,"WBO",45,"swim",FALSE,2019-07-10
2014-07-11,"BRT",16,"swim",FALSE,2019-07-11
2014-07-11,"MNY",19,"swim",FALSE,2019-07-11
2014-07-11,"PEB",32,"swim",FALSE,2019-07-11
